feature1	feature2	r
CD3+CD45+_Raw	Live_Raw	0.2289
CD3+CD56+ NK T cells_Raw	Live_Raw	0.1141
CD3Raw	0.0114
CD4+CTLA4+_Raw	Live_Raw	-0.1261
CD4+FoxP3+CD25+_Raw+CD4+_Raw	Live_Raw	0.0324
CD4+CCR5+_Raw	Live_Raw	-0.188
CD4+CD25+_Raw	Live_Raw	-0.1363
CD4+CD40+_Raw	Live_Raw	0.0094
CD4+CD69+_Raw	Live_Raw	-0.0527
CD4+CD90+_Raw	Live_Raw	-0.0572
CD4+CD103+_Raw	Live_Raw	0.0669
CD4+CD127+_Raw	Live_Raw	0.0555
CD4+CD161+_Raw	Live_	Live_Raw	-0.0059
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	Live_Raw	-0.0161
CD4+Va7.2+CD161+_Raw	Live_Raw	0.0169
CD4+PD1+_Raw	Live_Raw	-0.0649
CD4+ Central Memory_Raw	Live_Raw	-0.0446
CD4+ Effector Memory_Raw	Live_Raw	0.0982
CD4+ Effector Memory TD_Raw	Live_Raw	0.1209
CD4+ Naïve_Raw	Live_Raw	0.1878
CD4+PD1+CXCR5+ Tfh cells_Raw	Live_Raw	-0.1061
CD4+CD38+HLA-DR+_Raw	Live_Raw	0.0287
CD4+CD38+HLA-DR-_Raw	Live_Raw	-0.0906
CD4-CD8-_Raw	Live_Raw	-0.2192
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	Live_Raw	-0.0066
CD3+CD8+_Raw	Live_Raw	-0.004
CD8+CD25+_Raw	Live_Raw	-0.1052
CD8+CD40+_Raw	Live_Raw	0.0484
CD8+CD69+_Raw	Live_Raw	-0.1222
CD8+CD90+_Raw	Live_Raw	-0.0648
CD8+CD103+_Raw	Live_Raw	0.0953
CD8+CD127+_Raw	Live_Raw	0.0378
CD8+ Central Memory_Raw	Live_Raw	-0.0124
CD8+Effector Memory_Raw	Live_Raw	0.0105
CD8+Effector Memory TD_Raw	Live_Raw	0.2446
CD8+FoxP3+CD25+_Raw	Live_Raw	-0.1198
CD8+Va7.2+CD161+_Raw	Live_Raw	-0.0924
CD8+Naïve_Raw	Live_Raw	0.2224
CD8+PD1+_Raw	Live_Raw	-0.0723
CD8+PDL1+_Raw	Live_Raw	-0.0597
CD8+CD38+HLA-DR+_Raw	Live_Raw	0.0141
CD8+CD38+HLA-DR-_Raw	Live_Raw	-0.1425
B cells (% of CD3- CD45+)_Raw	Live_Raw	0.07
Live_Raw	NK cells (% of CD3- CD45+)_Raw	0.0302
CD14+ Monocytes (% of CD3- CD45+)_Raw	Live_Raw	0.2165
CD14+16- Classical Monocytes (% of parent)_Raw	Live_Raw	0.0297
CD14-16+ NonClassical Monocytes (% of parent)_Raw	Live_Raw	0.1457
CD14+16+ Intermediate Monocytes (% of parent)_Raw	Live_Raw	0.176
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	Live_Raw	-0.0413
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	Live_Raw	0.0103
CD3+CD45+_Raw	CD3+CD56+ NK T cells_Raw	0.0268
CD3+CD4+_Raw	CD3+CD45+_Raw	0.2982
CD3+CD45+_Raw	CD4+CCR5+_Raw	-0.2099
CD3+CD45+_Raw	CD4+CD25+_Raw	-0.2892
CD3+CD45+_Raw	CD4+CD40+_Raw	-0.0317
CD3+CD45+_Raw	CD4+CD69+_Raw	0.0188
CD3+CD45+_Raw	CD4+CD90+_Raw	-0.0703
CD3+CD45+_Raw	CD4+CD103+_Raw	-0.1068
CD3+CD45+_Raw	CD4+CD127+_Raw	0.3241
CD3+CD45+_Raw	CD4+CD161+_Raw	0.003
CD3+CD45+_Raw	CD4+CTLA4+_Raw	-0.204
CD3+CD45+_Raw	CD4+FoxP3+CD25+_Raw	-0.0623
