	shannon_entropy
SEQ010.Biop.DM001.1	6.251979320452429
SEQ010.Biop.DM001.2	4.319971553590066
SEQ010.Biop.DM002.1	4.8163267053672865
SEQ010.Biop.DM002.2	5.176551189078049
SEQ010.Biop.DM003.1	1.7425834485998533
SEQ010.Biop.DM003.2	1.4608687811714551
SEQ010.Biop.DM004.1	5.80804880619536
SEQ010.Biop.DM004.2	6.134461975661431
SEQ010.Biop.DM005.1	5.640513170399045
SEQ010.Biop.DM005.2	5.5856203893350695
SEQ010.Biop.DM007.1	5.651165737446763
SEQ010.Biop.DM007.2	6.358767336299752
SEQ010.Biop.DM008.1	5.360442719502286
SEQ010.Biop.DM008.2	4.653896125459151
SEQ010.Biop.DM009.1	4.682181421113951
SEQ010.Biop.DM009.2	4.875936172709765
SEQ010.Biop.DM011.1	3.826586726089576
SEQ010.Biop.DM011.2	6.137360727555584
SEQ010.Biop.DM013.1	5.743535515018087
SEQ010.Biop.DM013.2	5.502910884507728
SEQ010.Biop.DM014.1	4.1323390209100905
SEQ010.Biop.DM014.2	4.393045989760353
SEQ010.Biop.DM015.1	4.6277928144061535
SEQ010.Biop.DM015.2	5.512472071756737
SEQ010.Biop.DM016.1	5.94174482260043
SEQ010.Biop.DM016.2	5.773129427976361
SEQ010.Biop.DM017.1	4.844866430152488
SEQ010.Biop.DM017.2	5.601875436547658
SEQ010.Biop.DM018.1	5.219108476017139
SEQ010.Biop.DM018.2	5.53249780627458
SEQ010.Biop.DM019.1	4.211331787860258
SEQ010.Biop.DM019.2	5.216291900938672
SEQ010.Biop.DM021.1	6.054640898032717
SEQ010.Biop.DM021.2	4.091146560147591
SEQ010.Biop.DM022.1	6.212460479511359
SEQ010.Biop.DM022.2	4.529410781528628
SEQ010.Biop.DM023.1	5.058187124468351
SEQ010.Biop.DM023.2	5.688397972653312
SEQ010.Biop.DM025.1	6.452928383384894
SEQ010.Biop.DM025.2	4.956661094869924
SEQ010.Biop.DM027.1	4.957999836694354
SEQ010.Biop.DM030.1	4.620003884631584
SEQ010.Biop.DM030.2	4.182756276758156
SEQ010.Biop.DM032.1	3.250576254633264
SEQ010.Biop.GLD003.1	3.930508044659112
SEQ010.Biop.GLD020.1	4.573584910974863
SEQ010.Biop.GLD023.1	4.280217625052058
SEQ010.Biop.GLD025.1	6.209374204887996
SEQ010.Biop.GLD026.1	5.898146642335066
SEQ010.Biop.GLD027.1	5.876817114842662
SEQ010.Biop.GLD037.1	6.413922043909717
SEQ010.Biop.GLD051.1	6.22424598595047
SEQ010.Biop.GLD055.1	6.440063855884439
SEQ010.Lowell.K.1	6.162452248862228
SEQ010.Lowell.K.2	5.425650525490814
SEQ010.Lowell.K.4	5.663013321280277
SEQ010.Lowell.K.5	5.748762896719721
SEQ010.Lowell.S1.1	5.597680045150827
SEQ010.Lowell.S1.2	6.892491678698137
SEQ010.Lowell.S1.4	6.68641625060268
SEQ010.Lowell.S2.1	5.943704448693539
SEQ010.Lowell.S2.2	6.421024198544644
SEQ010.Lowell.S2.3	5.885737543014743
SEQ010.Lowell.S2.4	5.783888686631857
SEQ010.Lowell.S2.5	5.841808103616631
SEQ010.Lowell.S4A.2	8.816764708178042
SEQ010.Lowell.S4A.3	9.355608970686292
SEQ010.Lowell.S4B.1	9.276711912921225
SEQ010.Lowell.S4B.2	9.434139096997157
SEQ010.Lowell.S4B.3	9.32312845273399
SEQ010.Lowell.S4B.4	9.444513752326182
SEQ010.Lowell.S4B.5	9.35166530504484
SEQ015.Biop.Neg.DM033.1	4.326200999636033
SEQ015.Biop.Neg.DM033.2	5.524830882194947
SEQ015.Biop.Neg.DM035.1	5.906136858685279
SEQ015.Biop.Neg.DM035.2	6.107103092579242
SEQ015.Biop.Neg.DM037.1	5.612893425371165
SEQ015.Biop.Neg.DM037.2	6.388426159214372
SEQ015.Biop.Neg.DM045.1	5.023327037630095
SEQ015.Biop.Neg.DM045.2	3.6709857509647343
SEQ015.Biop.Neg.DM046.1	6.400299853614886
SEQ015.Biop.Neg.DM046.2	6.3262274668463565
SEQ015.Biop.Neg.DM053.1	5.0889049686069825
SEQ015.Biop.Neg.DM053.2	5.37724431539304
SEQ015.Biop.Neg.DM055.1	5.168833230255563
SEQ015.Biop.Neg.DM055.2	4.700249775628068
SEQ015.Biop.Neg.DM057.1	4.96491565924236
SEQ015.Biop.Neg.DM057.2	4.759361556120932
SEQ015.Biop.Neg.DM063.1	4.219411756364767
SEQ015.Biop.Neg.DM063.2	5.539593434395886
SEQ015.Biop.Pos.DM010.1.T	4.425496821855653
SEQ015.Biop.Pos.DM010.2.T	5.180350313064447
SEQ015.Biop.Pos.DM034.1.T	3.987919905531123
SEQ015.Biop.Pos.DM034.2.T	5.628235711169279
SEQ015.Biop.Pos.DM036.1.T	5.464902759874583
SEQ015.Biop.Pos.DM036.2.T	5.350832380627784
SEQ015.Biop.Pos.DM038.1.T	5.4805070046012805
SEQ015.Biop.Pos.DM038.2.T	5.2843989505377715
SEQ015.Biop.Pos.DM040.1.T	6.093537496133728
SEQ015.Biop.Pos.DM040.2.T	6.124739456542068
SEQ015.Biop.Pos.DM044.1.T	5.5842738889462105
SEQ015.Biop.Pos.DM044.2.T	5.689114349931798
SEQ015.Biop.Pos.DM051.1.T	4.909593245196622
SEQ015.Biop.Pos.DM051.2.T	4.0702726638590745
SEQ015.Biop.Pos.DM052.1.T	1.1570620584707154
SEQ015.St.Chronic.DM010.1.T	6.202249043870292
SEQ015.St.Chronic.DM010.2.T	4.407011471460026
SEQ015.St.Chronic.DM010.3.T	5.341962444277443
SEQ015.St.Chronic.DM034.1.T	5.76380056174175
SEQ015.St.Chronic.DM034.2.T	5.7099990732077055
SEQ015.St.Chronic.DM034.3.T	5.3928080570854435
SEQ015.St.Chronic.DM036.1.T	5.633643552973508
SEQ015.St.Chronic.DM036.2.T	6.195093426774177
SEQ015.St.Chronic.DM036.3.T	5.884279909752139
SEQ015.St.Chronic.DM040.1.T	5.460522281456378
SEQ015.St.Chronic.DM040.2.T	5.842355701645602
SEQ015.St.Chronic.DM040.3.T	5.79762701386078
SEQ015.St.Chronic.DM044.1.T	5.585311990987907
SEQ015.St.Chronic.DM044.3.T	5.778996585570564
SEQ015.St.Chronic.DM051.1.T	4.723408614057772
SEQ015.St.Chronic.DM051.2.T	4.786301802803056
SEQ015.St.Chronic.DM051.3.T	5.296924641862969
SEQ015.St.Chronic.DM052.1.T	5.506914192019994
SEQ015.St.Neg.DM026.1	5.698940995734637
SEQ015.St.Neg.DM026.2	6.059054851313028
SEQ015.St.Neg.DM026.3	5.9796335919533465
SEQ015.St.Neg.DM033.1	4.001934935361353
SEQ015.St.Neg.DM033.2	4.585752789787742
SEQ015.St.Neg.DM035.1	6.008499838160219
SEQ015.St.Neg.DM035.2	6.191605453354747
SEQ015.St.Neg.DM035.3	5.9030130183984255
SEQ015.St.Neg.DM037.1	5.901370549990004
SEQ015.St.Neg.DM037.2	5.987863302099532
SEQ015.St.Neg.DM037.3	6.355784864375629
SEQ015.St.Neg.DM038.1	5.482099049384897
SEQ015.St.Neg.DM038.2	4.934137677468624
SEQ015.St.Neg.DM038.3	5.83015627579656
SEQ015.St.Neg.DM042.1	5.7234773641906855
SEQ015.St.Neg.DM042.2	5.736212505572977
SEQ015.St.Neg.DM042.3	5.736473375917201
SEQ015.St.Neg.DM043.1	5.269337179203469
SEQ015.St.Neg.DM043.2	5.488814556025136
SEQ015.St.Neg.DM043.3	5.842294792611444
SEQ015.St.Neg.DM045.1	6.161953370892123
SEQ015.St.Neg.DM045.2	5.535271958865978
