	shannon_entropy
St.chronic.DM001.1.T	6.39378174856407
St.chronic.DM001.2.T	6.297748568276708
St.chronic.DM001.3.T	6.0374346082090105
St.chronic.DM002.1.T	4.806515482217428
St.chronic.DM002.2.T	4.664437324082145
St.chronic.DM002.3.T	4.709153562995281
St.chronic.DM003.1.T	5.323724897808702
St.chronic.DM003.2.T	6.237272872065668
St.chronic.DM003.3.T	6.08553735769289
St.chronic.DM007.1.T	5.725269069415668
St.chronic.DM007.2.T	6.041387965014455
St.chronic.DM007.3.T	6.350227086412354
St.chronic.DM009.1.T	5.05208293981024
St.chronic.DM009.2.T	6.0092064215196785
St.chronic.DM009.3.T	5.636713555545908
St.chronic.DM011.1.T	6.381370578162952
St.chronic.DM011.2.T	6.235815328563712
St.chronic.DM011.3.T	6.392028772003101
St.chronic.DM019.1.T	4.688505787652648
St.chronic.DM019.2.T	4.234255668100088
St.chronic.DM019.3.T	4.993553655783513
St.chronic.DM025.1.T	6.4507444970522245
St.chronic.DM025.2.T	6.282117338266991
St.chronic.DM025.3.T	6.258456020987078
St.chronic.DM030.1.T	5.028642179665929
St.chronic.DM030.2.T	5.852743092822104
St.chronic.DM032.1.T	6.2519967493351105
St.chronic.DM032.2.T	6.329299919687371
St.neg.DM004.1	5.086696992654629
St.neg.DM004.2	4.745830103213273
St.neg.DM004.3	5.152561837745033
St.neg.DM005.1	5.1182274285844835
St.neg.DM005.2	4.7651282402273525
St.neg.DM005.3	5.177546952569623
St.neg.DM008.1	6.501443827740665
St.neg.DM008.2	4.428749403100579
St.neg.DM008.3	4.800425561855262
St.neg.DM013.1	6.003349348251708
St.neg.DM013.2	5.957732862109601
St.neg.DM013.3	5.440223201923837
St.neg.DM014.1	5.420879856987055
St.neg.DM014.2	5.724343378186112
St.neg.DM014.3	5.457175250580761
St.neg.DM015.1	5.966564598230481
St.neg.DM015.2	6.12756473832591
St.neg.DM015.3	5.8019259624460195
St.neg.DM016.1	5.61191434934075
St.neg.DM016.2	6.233913362920313
St.neg.DM016.3	3.538695027018272
St.neg.DM017.1	4.191834598865099
St.neg.DM017.2	4.952074804228654
St.neg.DM017.3	5.984749477518958
St.neg.DM018.1	5.954714948039262
St.neg.DM018.2	5.982213400931484
St.neg.DM018.3	5.172417631636587
St.neg.DM021.1	5.155768831862464
St.neg.DM021.2	5.917516519794755
St.neg.DM021.3	6.0132178377422045
St.neg.DM022.1	6.1820243955422285
St.neg.DM022.2	5.6239588740435735
St.neg.DM022.3	5.730183097178454
St.neg.DM023.1	5.885790910548806
St.neg.DM023.2	5.335747838021841
