	shannon_entropy
St.chronic.DM001.1.T	6.3059938454078415
St.chronic.DM001.2.T	6.184460793939052
St.chronic.DM001.3.T	5.986747139533702
St.chronic.DM002.1.T	4.8607835815616856
St.chronic.DM002.2.T	4.724488018754835
St.chronic.DM002.3.T	4.566268476257731
St.chronic.DM003.1.T	5.329529234845553
St.chronic.DM003.2.T	6.165353197127653
St.chronic.DM003.3.T	5.954532389173759
St.chronic.DM007.1.T	5.655759385298587
St.chronic.DM007.2.T	5.847227904613803
St.chronic.DM007.3.T	6.232504732412458
St.chronic.DM009.1.T	4.969014501102575
St.chronic.DM009.2.T	5.8863775804630905
St.chronic.DM009.3.T	5.523263725434202
St.chronic.DM011.1.T	6.290703949125569
St.chronic.DM011.2.T	6.0891873844773325
St.chronic.DM011.3.T	6.277631470494544
St.chronic.DM019.1.T	4.641576259691748
St.chronic.DM019.2.T	4.159765582009808
St.chronic.DM019.3.T	4.942943079000434
St.chronic.DM025.1.T	6.3430742764282515
St.chronic.DM025.2.T	6.278714281045551
St.chronic.DM025.3.T	6.152021751495441
St.chronic.DM030.1.T	5.0363224983343935
St.chronic.DM030.2.T	5.816950029275006
St.chronic.DM032.1.T	6.054321650872074
St.chronic.DM032.2.T	6.258460384320209
St.neg.DM004.1	5.037312612947361
St.neg.DM004.2	4.658017948447043
St.neg.DM004.3	5.139075857271506
St.neg.DM005.1	5.0022505107820106
St.neg.DM005.2	4.75073603825902
St.neg.DM005.3	5.10933353701882
St.neg.DM008.1	6.442632941078043
St.neg.DM008.2	4.397301853748065
St.neg.DM008.3	4.796206999713398
St.neg.DM013.1	5.9090438593315024
St.neg.DM013.2	5.920771237946003
St.neg.DM013.3	5.368692646817372
St.neg.DM014.1	5.337867119656553
St.neg.DM014.2	5.661926232193139
St.neg.DM014.3	5.431021580988285
St.neg.DM015.1	5.9182691445666125
St.neg.DM015.2	6.076125095350989
St.neg.DM015.3	5.745837304397742
St.neg.DM016.1	5.495586229455587
St.neg.DM016.2	6.178545784413886
St.neg.DM016.3	3.5325744513922355
St.neg.DM017.1	4.206722170820201
St.neg.DM017.2	4.855189990486278
St.neg.DM017.3	5.977288716957702
St.neg.DM018.1	5.897216858215377
St.neg.DM018.2	5.931581615881924
St.neg.DM018.3	5.126453709873696
St.neg.DM021.1	5.062704371162423
St.neg.DM021.2	5.846302751708078
St.neg.DM021.3	5.915930235447674
St.neg.DM022.1	6.044433059225374
St.neg.DM022.2	5.621056765821485
St.neg.DM022.3	5.617375740980508
St.neg.DM023.1	5.865816736661158
St.neg.DM023.2	5.2953801557051605
St.neg.DM023.3	5.117029125698709
St.neg.DM028.1	5.757146681739154
St.neg.DM028.2	6.07349563458243
St.neg.DM028.3	6.03243239578546
St.neg.DM029.1	5.605729016570933
St.neg.DM029.2	5.447450162451187
St.neg.DM029.3	5.309540176521539
St.neg.DM031.1	5.233573176460118
St.neg.DM031.2	4.915134154475915
St.neg.DM031.3	5.019237939672812
St.Chronic.DM010.1.T	6.197390331948837
St.Chronic.DM010.2.T	4.486774750093307
St.Chronic.DM010.3.T	5.394295213513951
St.Chronic.DM034.1.T	5.745884739307307
St.Chronic.DM034.2.T	5.684905560384602
St.Chronic.DM034.3.T	5.481256309212074
St.Chronic.DM036.1.T	5.6858525071884705
St.Chronic.DM036.2.T	6.195854283847171
St.Chronic.DM036.3.T	5.96766478672791
St.Chronic.DM040.1.T	5.469407707669595
St.Chronic.DM040.2.T	5.785432418757027
St.Chronic.DM040.3.T	5.771881783115819
St.Chronic.DM044.1.T	5.628081132494065
St.Chronic.DM044.3.T	5.775485901405704
St.Chronic.DM051.1.T	4.716273735041276
St.Chronic.DM051.2.T	4.796841871336262
St.Chronic.DM051.3.T	5.233307956882046
St.Neg.DM026.1	5.839177248905744
St.Neg.DM026.2	6.193827742490731
St.Neg.DM026.3	5.945833728461322
St.Neg.DM033.1	4.086543938200731
St.Neg.DM033.2	4.563872001692871
St.Neg.DM035.1	5.926837134672256
St.Neg.DM035.2	6.138666215549367
St.Neg.DM035.3	5.806567632209922
St.Neg.DM037.1	5.979940314241155
St.Neg.DM037.2	5.961981720953404
St.Neg.DM037.3	6.384944956366637
St.Neg.DM038.1	5.483207463839295
St.Neg.DM038.2	4.99030684528345
St.Neg.DM038.3	5.788996027685806
St.Neg.DM042.1	5.7151831692512385
St.Neg.DM042.2	5.833786949802396
St.Neg.DM042.3	5.823421517077248
St.Neg.DM043.1	5.299207776075003
St.Neg.DM043.2	5.46352648409093
St.Neg.DM043.3	5.870428827753446
St.Neg.DM045.1	6.197183670711961
St.Neg.DM045.2	5.583598821874188
St.Neg.DM045.3	6.437290586753622
St.Neg.DM046.1	5.921696169434774
St.Neg.DM046.2	6.635838176187667
St.Neg.DM046.3	6.4723349841522335
St.Neg.DM049.1	5.093983899062258
St.Neg.DM049.2	5.20600081451902
St.Neg.DM049.3	5.0351246926996405
St.Neg.DM050.1	5.642503179826733
St.Neg.DM050.2	5.544014641805997
St.Neg.DM050.3	5.661238487510442
St.Neg.DM053.1	6.396142956946892
St.Neg.DM053.2	5.878093423130035
St.Neg.DM053.3	6.116825263315991
St.Neg.DM055.1	4.730932362699216
St.Neg.DM055.2	4.209389103783291
St.Neg.DM055.3	4.677402558021027
St.Neg.DM057.1	5.423597675570823
St.Neg.DM057.2	5.941599026923548
St.Neg.DM057.3	5.3218897561313065
St.Neg.DM058.1	5.8624961315487205
St.Neg.DM058.2	5.739377467205118
St.Neg.DM058.3	5.660398256096573
St.Neg.DM059.1	4.736126714032585
St.Neg.DM059.2	4.246621082949486
St.Neg.DM059.3	4.4734301397421286
St.Neg.DM063.1	6.107608428992955
St.Neg.DM063.2	5.951525867850298
St.Neg.DM063.3	5.1421826298422495
DM064.1	5.451895446609403
DM064.2	4.334484992300495
DM064.3	5.1258652681499965
DM065.1	5.173550326366414
DM065.2	5.318547347566166
DM065.3	4.7674520819523885
DM066.1	4.80569806398103
DM066.2	4.231196784734805
DM066.3	4.733043014675432
DM067.1	5.413558482326752
DM067.2	5.620045413060179
DM067.3	5.546042977360275
DM068.1	4.390073443619191
DM069.1	5.815354071334579
DM069.3	4.619033998302142
DM070.1	5.908702463115372
DM070.2	6.088246003719255
DM070.3	6.04729237310328
DM072.1	5.795919158280655
DM072.2	6.006527737089232
DM072.3	5.811485828797877
DM074.1	5.661602935043361
DM074.2	5.362420322116981
DM074.3	5.156900066305905
DM077.1	4.942267484139584
DM077.2	4.65978254633789
DM077.3	4.89362307114502
DM079.1	4.441607622018571
DM079.2	5.082499534015726
DM079.3	5.534716590958601
DM081.1	5.539652276243898
DM081.2	5.273517304496315
DM081.3	5.87159094402041
DM082.1	6.227239068566756
DM082.2	6.185164764371629
DM082.3	5.918320813157648
DM084.1	4.799926123014596
DM084.2	5.051212499578226
DM084.3	5.192415420115557
DM086.1	5.230405203574008
DM086.2	5.667668546477848
DM086.3	5.217827135780078
DM087.1	5.8149707198295655
DM087.2	5.116971693821566
DM087.3	5.102565098668036
DM088.1	6.227818711660236
DM088.2	5.983525555032797
DM088.3	6.182503328944428
St.Chronic.DM085.1.T	5.523158833650367
St.Chronic.DM085.2.T	5.197272586592631
St.Chronic.DM085.3.T	5.52405508653964
St.Chronic.DM094.1.T	4.710144728788859
St.Chronic.DM094.2.T	4.991898570713478
St.Chronic.DM094.3.T	5.051449345374859
St.Chronic.DM095.1.T	5.709630182635861
St.Chronic.DM095.2.T	5.8176972179265976
St.Chronic.DM095.3.T	5.9845287097662405
St.Chronic.DM101.1.T	4.709802225814151
St.Chronic.DM101.2.T	4.386570335478412
St.Chronic.DM101.3.T	4.87654344129292
St.Chronic.DM103.1.T	5.868554462341469
St.Chronic.DM103.2.T	6.025640800124948
St.Chronic.DM103.3.T	6.009002093716265
St.Chronic.DM104.1.T	5.778204650282356
St.Chronic.DM104.2.T	5.760351954389526
St.Chronic.DM104.3.T	6.353241175940101
St.Chronic.DM106.1.T	5.2395692152743685
St.Chronic.DM106.2.T	5.119778235517313
St.Chronic.DM106.3.T	5.377473864867182
St.Chronic.DM107.1.T	5.473812843349061
St.Chronic.DM107.2.T	5.628307111273772
St.Chronic.DM107.3.T	5.645048047100209
St.Chronic.DM109.1.T	6.726932197671215
St.Chronic.DM109.2.T	6.1942548205335894
St.Chronic.DM109.3.T	6.744512301687005
St.Chronic.DM114.1.T	5.668122955384046
St.Chronic.DM114.2.T	5.888400567296314
St.Chronic.DM114.3.T	6.465163225377962
St.Chronic.DM116.1.T	6.268628649440107
St.Chronic.DM116.2.T	6.617871939697902
St.Chronic.DM116.3.T	6.069489933282324
St.Chronic.DM117.1.T	5.458272596780186
St.Chronic.DM117.2.T	5.358978595518848
St.Chronic.DM117.3.T	5.840007825449551
St.Neg.DM093.1.HR	5.879713718009326
St.Neg.DM093.2.HR	6.084848518053015
St.Neg.DM093.3.HR	6.088817777338976
St.Neg.DM096.1.HR	5.906946038160329
St.Neg.DM096.2.HR	5.434790956330894
St.Neg.DM096.3.HR	6.098781806922382
St.Neg.DM099.1.HR	5.053551250659128
St.Neg.DM099.2.HR	5.351790643526147
St.Neg.DM099.3.HR	5.131605947300662
St.Neg.DM100.1.HR	5.3973477060082615
St.Neg.DM100.2.HR	5.303203697811995
St.Neg.DM100.3.HR	5.586408893770632
St.Neg.DM108.1.HR	6.813804834861807
St.Neg.DM108.2.HR	6.479381029506249
St.Neg.DM108.3.HR	6.11288822119018
St.Neg.DM110.1.HR	5.650412038877865
St.Neg.DM110.2.HR	5.164913204968466
St.Neg.DM110.3.HR	6.019839540196735
St.Neg.DM112.1.HR	6.684346520901778
St.Neg.DM112.2.HR	6.391684436885136
St.Neg.DM112.3.HR	6.8263428653607185
St.Neg.DM113.1.HR	6.608501072299045
St.Neg.DM113.2.HR	6.856632743626582
St.Neg.DM113.3.HR	6.91995012966124
St.Neg.DM115.1.HR	6.634487987645099
St.Neg.DM115.2.HR	6.815296405090059
St.Neg.DM115.3.HR	6.584656336534692
